reward,actions,episodes,losses,q_values,epsilone
1.0,4,30,4.590983,1.0,0.1
-4.0,5,30,5.745779,1.0,0.1
-4.0,0,30,3.4342515,1.0,0.1
-4.0,5,30,3.6228247,1.0,0.1
1.0,4,30,3.4396968,1.0,0.1
1.0,4,30,3.6941323,1.0,0.1
1.0,4,30,3.8242695,1.0,0.1
1.0,4,31,3.6059256,1.0,0.1
1.0,4,31,6.3336253,1.0,0.1
-4.0,3,31,2.969012,1.0,0.1
1.0,4,31,3.1293545,1.0,0.1
1.0,4,31,2.8914382,1.0,0.1
1.0,4,31,3.7220461,1.0,0.1
1.0,4,31,2.5469456,1.0,0.1
1.0,4,31,2.6822457,1.0,0.1
1.0,4,31,3.4191854,1.0,0.1
1.0,4,31,3.1632988,1.0,0.1
1.0,4,31,3.5636966,1.0,0.1
1.0,4,31,3.439279,1.0,0.1
1.0,4,31,3.6022313,1.0,0.1
1.0,4,31,4.7499,1.0,0.1
1.0,2,31,3.92554,1.0,0.1
1.0,4,31,3.3236775,1.0,0.1
1.0,4,31,3.5816844,1.0,0.1
1.0,4,31,3.9459105,1.0,0.1
1.0,2,31,4.1774387,1.0,0.1
1.0,4,31,3.1344185,1.0,0.1
1.0,4,31,5.378566,1.0,0.1
1.0,4,31,4.504371,1.0,0.1
1.0,4,31,5.2687073,1.0,0.1
-4.0,4,31,3.4446437,1.0,0.1
1.0,1,31,6.0799503,1.0,0.1
-4.0,4,31,3.4314575,1.0,0.1
-4.0,4,31,3.4388442,1.0,0.1
1.0,1,31,2.6137278,1.0,0.1
-4.0,4,31,8.25556,1.0,0.1
-4.0,4,31,3.0341802,1.0,0.1
-4.0,4,31,8.38944,1.0,0.1
-4.0,4,31,2.9841182,1.0,0.1
-4.0,4,31,3.2762508,1.0,0.1
-4.0,4,31,5.8196454,1.0,0.1
1.0,5,31,3.9429348,1.0,0.1
-4.0,4,31,3.4687989,1.0,0.1
-4.0,4,31,3.8191867,1.0,0.1
-4.0,4,31,3.762172,1.0,0.1
-4.0,4,31,3.92909,1.0,0.1
-4.0,4,31,3.1346436,1.0,0.1
-4.0,4,32,2.7547193,1.0,0.1
-4.0,4,32,3.316473,1.0,0.1
-4.0,4,32,3.5463645,1.0,0.1
-4.0,4,32,3.2707055,1.0,0.1
-4.0,4,32,3.4346027,1.0,0.1
-4.0,4,32,5.6622353,1.0,0.1
1.0,5,32,2.8946905,1.0,0.1
-4.0,4,32,2.9154582,1.0,0.1
-4.0,4,32,3.2216983,1.0,0.1
-4.0,4,32,3.08315,1.0,0.1
-4.0,4,32,3.6393714,1.0,0.1
-4.0,4,32,3.569911,1.0,0.1
-4.0,4,32,3.412747,1.0,0.1
-4.0,4,32,3.3827543,1.0,0.1
-4.0,4,32,3.3547106,1.0,0.1
-4.0,4,32,3.9507577,1.0,0.1
-4.0,4,32,3.4417233,1.0,0.1
-4.0,4,32,3.6090672,1.0,0.1
-4.0,4,32,2.8476954,1.0,0.1
-4.0,4,32,3.8921552,1.0,0.1
-4.0,4,32,6.446492,1.0,0.1
-4.0,4,32,5.982975,1.0,0.1
-4.0,4,32,4.113903,1.0,0.1
1.0,4,32,3.9706936,1.0,0.1
